iter	Passed	Remaining
0	74	148433
1	80	80220
2	86	57521
3	92	46184
4	98	39434
5	105	34950
6	110	31583
7	117	29179
8	122	27180
9	128	25645
10	135	24530
11	141	23434
12	147	22532
13	153	21799
14	159	21132
15	165	20557
16	172	20110
17	177	19587
18	183	19166
19	189	18723
20	195	18389
21	201	18113
22	207	17864
23	214	17631
24	220	17406
25	226	17163
26	231	16952
27	237	16758
28	243	16569
29	249	16366
30	254	16195
31	261	16112
32	267	15968
33	274	15869
34	280	15724
35	286	15603
36	291	15469
37	297	15381
38	303	15274
39	309	15166
40	315	15076
41	321	15005
42	328	14935
43	333	14840
44	339	14739
45	345	14666
46	351	14589
47	356	14509
48	363	14455
49	368	14389
50	375	14333
51	380	14259
52	386	14183
53	392	14148
54	398	14086
55	404	14037
56	410	13991
57	416	13943
58	422	13892
59	428	13838
60	433	13780
61	439	13733
62	445	13685
63	450	13641
64	456	13600
65	462	13560
66	468	13528
67	475	13500
68	482	13493
69	487	13453
70	494	13432
71	501	13416
72	507	13396
73	513	13364
74	520	13356
75	527	13350
76	534	13349
77	540	13315
78	547	13306
79	553	13288
80	560	13276
81	567	13277
82	574	13258
83	580	13242
84	587	13232
85	593	13213
86	600	13203
87	607	13190
88	613	13179
89	619	13147
90	626	13134
91	632	13114
92	639	13107
93	645	13091
94	652	13082
95	659	13081
96	666	13076
97	673	13076
98	680	13071
99	687	13064
100	693	13043
101	699	13018
102	705	12993
103	710	12961
104	716	12931
105	722	12911
106	728	12886
107	734	12860
108	739	12821
109	744	12789
110	749	12760
111	755	12737
112	762	12726
113	768	12711
114	775	12708
115	782	12701
116	787	12678
117	793	12657
118	798	12629
119	805	12615
120	810	12593
121	817	12581
122	823	12562
123	829	12548
124	836	12542
125	841	12520
126	847	12505
127	853	12484
128	859	12463
129	864	12437
130	870	12424
131	877	12412
132	883	12402
133	889	12390
134	895	12375
135	901	12359
136	907	12337
137	912	12310
138	917	12289
139	923	12272
140	930	12264
141	937	12263
142	943	12249
143	949	12242
144	956	12230
145	962	12227
146	969	12216
147	974	12199
148	981	12189
149	986	12172
150	994	12183
151	1000	12159
152	1005	12141
153	1011	12129
154	1018	12120
155	1023	12098
156	1029	12086
157	1035	12072
158	1042	12069
159	1049	12065
160	1055	12058
161	1062	12056
162	1069	12051
163	1077	12060
164	1083	12053
165	1090	12044
166	1096	12038
167	1103	12029
168	1110	12034
169	1118	12035
170	1124	12030
171	1131	12027
172	1138	12019
173	1144	12008
174	1150	11998
175	1158	12010
176	1166	12009
177	1172	12002
178	1180	12005
179	1185	11988
180	1192	11980
181	1197	11962
182	1203	11950
183	1209	11940
184	1216	11930
185	1222	11919
186	1228	11911
187	1234	11898
188	1240	11881
189	1245	11864
190	1251	11855
191	1257	11838
192	1263	11829
193	1269	11816
194	1277	11827
195	1284	11824
196	1291	11820
197	1297	11809
198	1304	11807
199	1311	11799
200	1317	11790
201	1323	11783
202	1330	11776
203	1336	11767
204	1343	11761
205	1349	11754
206	1356	11748
207	1362	11741
208	1369	11731
209	1374	11717
210	1381	11711
211	1387	11705
212	1393	11691
213	1399	11682
214	1405	11671
215	1411	11661
216	1417	11648
217	1423	11638
218	1430	11629
219	1435	11614
220	1441	11600
221	1447	11594
222	1453	11581
223	1459	11573
224	1465	11563
225	1472	11557
226	1478	11549
227	1485	11544
228	1491	11536
229	1497	11525
230	1503	11517
231	1509	11506
232	1515	11495
233	1522	11487
234	1528	11476
235	1534	11466
236	1540	11458
237	1547	11455
238	1553	11446
239	1561	11448
240	1567	11442
241	1574	11439
242	1580	11428
243	1587	11425
244	1593	11417
245	1599	11406
246	1605	11395
247	1611	11384
248	1617	11376
249	1623	11362
250	1629	11352
251	1635	11342
252	1641	11332
253	1647	11324
254	1652	11310
255	1659	11305
256	1665	11296
257	1671	11288
258	1678	11279
259	1685	11279
260	1691	11272
261	1697	11263
262	1703	11252
263	1710	11244
264	1717	11245
265	1724	11240
266	1731	11237
267	1737	11232
268	1744	11228
269	1751	11219
270	1757	11213
271	1764	11207
272	1770	11200
273	1777	11194
274	1783	11189
275	1790	11185
276	1796	11177
277	1803	11170
278	1809	11162
279	1815	11154
280	1821	11141
281	1827	11132
282	1833	11122
283	1839	11115
284	1845	11107
285	1851	11097
286	1858	11090
287	1863	11079
288	1870	11073
289	1876	11067
290	1883	11060
291	1889	11053
292	1896	11046
293	1902	11040
294	1908	11029
295	1914	11020
296	1920	11012
297	1927	11006
298	1934	11003
299	1940	10997
300	1947	10993
301	1955	10992
302	1961	10988
303	1969	10985
304	1974	10974
305	1980	10966
306	1986	10956
307	1993	10953
308	1999	10943
309	2006	10939
310	2013	10933
311	2019	10925
312	2026	10921
313	2032	10912
314	2038	10903
315	2044	10894
316	2049	10882
317	2055	10874
318	2062	10867
319	2068	10858
320	2074	10848
321	2079	10839
322	2085	10828
323	2091	10820
324	2097	10811
325	2104	10804
326	2109	10792
327	2115	10782
328	2121	10772
329	2127	10764
330	2132	10754
331	2138	10744
332	2144	10735
333	2150	10728
334	2156	10718
335	2162	10711
336	2169	10703
337	2174	10693
338	2180	10684
339	2186	10677
340	2192	10665
341	2197	10654
342	2203	10645
343	2210	10640
344	2216	10633
345	2222	10626
346	2229	10621
347	2235	10612
348	2241	10604
349	2247	10595
350	2253	10585
351	2260	10581
352	2265	10572
353	2272	10564
354	2279	10561
355	2286	10558
356	2293	10555
357	2300	10550
358	2307	10546
359	2314	10541
360	2320	10535
361	2326	10528
362	2332	10520
363	2340	10517
364	2346	10512
365	2353	10505
366	2359	10497
367	2365	10491
368	2371	10484
369	2378	10477
370	2385	10472
371	2391	10463
372	2398	10460
373	2404	10453
374	2410	10445
